
Récapitulatif de mes puissances atteintes en W

Date et heure de relève par le distributeur;Puissance atteinte (W);Nature de la donnée
11:30:00;208;Réelle
11:00:00;196;Réelle
10:30:00;184;Réelle
10:00:00;168;Réelle
09:30:00;156;Réelle
09:00:00;40;Réelle
08:30:00;76;Réelle
08:00:00;38;Réelle
07:30:00;80;Réelle
07:00:00;42;Réelle
06:30:00;84;Réelle
06:00:00;48;Réelle
05:30:00;90;Réelle
05:00:00;58;Réelle
04:30:00;118;Réelle
04:00:00;146;Réelle
03:30:00;240;Réelle
03:00:00;342;Réelle
02:30:00;352;Réelle
02:00:00;316;Réelle
01:30:00;230;Réelle
01:00:00;214;Réelle
00:30:00;224;Réelle

24/12/2023;;
00:00:00;286;Réelle
23:30:00;1046;Réelle
23:00:00;510;Réelle
22:30:00;178;Réelle
22:00:00;190;Réelle
21:30:00;292;Réelle
21:00:00;284;Réelle
20:30:00;256;Réelle
20:00:00;318;Réelle
19:30:00;404;Réelle
19:00:00;1452;Réelle
18:30:00;1104;Réelle
18:00:00;1512;Réelle
17:30:00;2274;Réelle
17:00:00;3240;Réelle
16:30:00;1678;Réelle
16:00:00;3050;Réelle
15:30:00;4874;Réelle
15:00:00;4220;Réelle
14:30:00;2132;Réelle
14:00:00;3368;Réelle
13:30:00;3220;Réelle
13:00:00;2066;Réelle
12:30:00;176;Réelle
12:00:00;224;Réelle
11:30:00;160;Réelle
11:00:00;186;Réelle
10:30:00;172;Réelle
10:00:00;204;Réelle
09:30:00;92;Réelle
09:00:00;96;Réelle
08:30:00;38;Réelle
08:00:00;86;Réelle
07:30:00;40;Réelle
07:00:00;94;Réelle
06:30:00;54;Réelle
06:00:00;114;Réelle
05:30:00;158;Réelle
05:00:00;130;Réelle
04:30:00;96;Réelle
04:00:00;58;Réelle
03:30:00;208;Réelle
03:00:00;180;Réelle
02:30:00;214;Réelle
02:00:00;188;Réelle
01:30:00;222;Réelle
01:00:00;330;Réelle
00:30:00;532;Réelle

23/12/2023;;
00:00:00;910;Réelle
23:30:00;808;Réelle
23:00:00;764;Réelle
22:30:00;812;Réelle
22:00:00;378;Réelle
21:30:00;202;Réelle
21:00:00;400;Réelle
20:30:00;386;Réelle
20:00:00;436;Réelle
19:30:00;1224;Réelle
19:00:00;462;Réelle
18:30:00;1218;Réelle
18:00:00;764;Réelle
17:30:00;308;Réelle
17:00:00;580;Réelle
16:30:00;576;Réelle
16:00:00;1058;Réelle
15:30:00;914;Réelle
15:00:00;452;Réelle
14:30:00;3498;Réelle
14:00:00;732;Réelle
13:30:00;142;Réelle
13:00:00;90;Réelle
12:30:00;38;Réelle
12:00:00;44;Réelle
11:30:00;52;Réelle
11:00:00;38;Réelle
10:30:00;152;Réelle
10:00:00;126;Réelle
09:30:00;1002;Réelle
09:00:00;98;Réelle
08:30:00;182;Réelle
08:00:00;74;Réelle
07:30:00;62;Réelle
07:00:00;58;Réelle
06:30:00;38;Réelle
06:00:00;42;Réelle
05:30:00;58;Réelle
05:00:00;26;Réelle
04:30:00;58;Réelle
04:00:00;42;Réelle
03:30:00;42;Réelle
03:00:00;64;Réelle
02:30:00;36;Réelle
02:00:00;142;Réelle
01:30:00;170;Réelle
01:00:00;156;Réelle
00:30:00;178;Réelle

22/12/2023;;
00:00:00;160;Réelle
23:30:00;184;Réelle
23:00:00;222;Réelle
22:30:00;686;Réelle
22:00:00;482;Réelle
21:30:00;142;Réelle
21:00:00;974;Réelle
20:30:00;976;Réelle
20:00:00;124;Réelle
19:30:00;204;Réelle
19:00:00;714;Réelle
18:30:00;66;Réelle
18:00:00;56;Réelle
17:30:00;52;Réelle
17:00:00;34;Réelle
16:30:00;50;Réelle
16:00:00;34;Réelle
15:30:00;52;Réelle
15:00:00;32;Réelle
14:30:00;46;Réelle
14:00:00;132;Réelle
13:30:00;80;Réelle
13:00:00;52;Réelle
12:30:00;54;Réelle
12:00:00;34;Réelle
11:30:00;58;Réelle
11:00:00;50;Réelle
10:30:00;104;Réelle
10:00:00;98;Réelle
09:30:00;86;Réelle
09:00:00;34;Réelle
08:30:00;68;Réelle
08:00:00;38;Réelle
07:30:00;58;Réelle
07:00:00;54;Réelle
06:30:00;50;Réelle
06:00:00;56;Réelle
05:30:00;50;Réelle
05:00:00;74;Réelle
04:30:00;70;Réelle
04:00:00;86;Réelle
03:30:00;64;Réelle
03:00:00;84;Réelle
02:30:00;62;Réelle
02:00:00;84;Réelle
01:30:00;68;Réelle
01:00:00;74;Réelle
00:30:00;94;Réelle

21/12/2023;;
00:00:00;124;Réelle
23:30:00;206;Réelle
23:00:00;138;Réelle
22:30:00;120;Réelle
22:00:00;94;Réelle
21:30:00;72;Réelle
21:00:00;40;Réelle
20:30:00;58;Réelle
20:00:00;66;Réelle
19:30:00;36;Réelle
19:00:00;66;Réelle
18:30:00;70;Réelle
18:00:00;36;Réelle
17:30:00;74;Réelle
17:00:00;70;Réelle
16:30:00;100;Réelle
16:00:00;158;Réelle
15:30:00;658;Réelle
15:00:00;62;Réelle
14:30:00;30;Réelle
14:00:00;64;Réelle
13:30:00;86;Réelle
13:00:00;144;Réelle
12:30:00;60;Réelle
12:00:00;58;Réelle
11:30:00;58;Réelle
11:00:00;26;Réelle
10:30:00;60;Réelle
10:00:00;36;Réelle
09:30:00;50;Réelle
09:00:00;52;Réelle
08:30:00;44;Réelle
08:00:00;58;Réelle
07:30:00;42;Réelle
07:00:00;82;Réelle
06:30:00;36;Réelle
06:00:00;56;Réelle
05:30:00;42;Réelle
05:00:00;46;Réelle
04:30:00;54;Réelle
04:00:00;38;Réelle
03:30:00;62;Réelle
03:00:00;32;Réelle
02:30:00;60;Réelle
02:00:00;42;Réelle
01:30:00;60;Réelle
01:00:00;64;Réelle
00:30:00;60;Réelle

20/12/2023;;
00:00:00;76;Réelle
23:30:00;46;Réelle
23:00:00;86;Réelle
22:30:00;62;Réelle
22:00:00;74;Réelle
21:30:00;52;Réelle
21:00:00;44;Réelle
20:30:00;52;Réelle
20:00:00;36;Réelle
19:30:00;62;Réelle
19:00:00;36;Réelle
18:30:00;70;Réelle
18:00:00;132;Réelle
17:30:00;214;Réelle
17:00:00;186;Réelle
16:30:00;180;Réelle
16:00:00;422;Réelle
15:30:00;594;Réelle
15:00:00;182;Réelle
14:30:00;158;Réelle
14:00:00;182;Réelle
13:30:00;180;Réelle
13:00:00;144;Réelle
12:30:00;62;Réelle
12:00:00;34;Réelle
11:30:00;58;Réelle
11:00:00;30;Réelle
10:30:00;50;Réelle
10:00:00;42;Réelle
09:30:00;40;Réelle
09:00:00;54;Réelle
08:30:00;34;Réelle
08:00:00;72;Réelle
07:30:00;38;Réelle
07:00:00;66;Réelle
06:30:00;46;Réelle
06:00:00;44;Réelle
05:30:00;52;Réelle
05:00:00;40;Réelle
04:30:00;66;Réelle
04:00:00;40;Réelle
03:30:00;74;Réelle
03:00:00;48;Réelle
02:30:00;86;Réelle
02:00:00;160;Réelle
01:30:00;92;Réelle
01:00:00;74;Réelle
00:30:00;72;Réelle

19/12/2023;;
00:00:00;72;Réelle
23:30:00;64;Réelle
23:00:00;96;Réelle
22:30:00;110;Réelle
22:00:00;816;Réelle
21:30:00;290;Réelle
21:00:00;64;Réelle
20:30:00;40;Réelle
20:00:00;70;Réelle
19:30:00;24;Réelle
19:00:00;54;Réelle
18:30:00;32;Réelle
18:00:00;46;Réelle
17:30:00;38;Réelle
17:00:00;40;Réelle
16:30:00;46;Réelle
16:00:00;32;Réelle
15:30:00;54;Réelle
15:00:00;24;Réelle
14:30:00;56;Réelle
14:00:00;26;Réelle
13:30:00;52;Réelle
13:00:00;34;Réelle
12:30:00;44;Réelle
12:00:00;42;Réelle
11:30:00;40;Réelle
11:00:00;68;Réelle
10:30:00;160;Réelle
10:00:00;58;Réelle
09:30:00;60;Réelle
09:00:00;68;Réelle
08:30:00;42;Réelle
08:00:00;60;Réelle
07:30:00;102;Réelle
07:00:00;34;Réelle
06:30:00;56;Réelle
06:00:00;26;Réelle
05:30:00;54;Réelle
05:00:00;34;Réelle
04:30:00;46;Réelle
04:00:00;44;Réelle
03:30:00;40;Réelle
03:00:00;52;Réelle
02:30:00;30;Réelle
02:00:00;56;Réelle
01:30:00;32;Réelle
01:00:00;70;Réelle
00:30:00;42;Réelle

18/12/2023;;
00:00:00;58;Réelle
23:30:00;54;Réelle
23:00:00;148;Réelle
22:30:00;186;Réelle
22:00:00;146;Réelle
21:30:00;198;Réelle
21:00:00;286;Réelle
20:30:00;88;Réelle
20:00:00;70;Réelle
19:30:00;86;Réelle
19:00:00;134;Réelle
18:30:00;220;Réelle
18:00:00;102;Réelle
17:30:00;90;Réelle
17:00:00;78;Réelle
16:30:00;50;Réelle
16:00:00;72;Réelle
15:30:00;72;Réelle
15:00:00;74;Réelle
14:30:00;106;Réelle
14:00:00;106;Réelle
13:30:00;156;Réelle
13:00:00;242;Réelle
12:30:00;1434;Réelle
12:00:00;72;Réelle
11:30:00;44;Réelle
11:00:00;36;Réelle
10:30:00;36;Réelle
10:00:00;38;Réelle
09:30:00;40;Réelle
09:00:00;66;Réelle
